diam[nm],	phi	charge	MeanR[nm]	U(<r>)	U(r_FCC)	2pi/MeanR	Salt[然]	T[K]	Eps.	Lb[nm]	kappa[1/nm]	q_max[1/nm]	Sq_max	r_max[nm]	gr_max	S(0)	Contact_value	alpha	dr[diam]	U(rm)	r_dip[nm]	Nn	gr_dip	lambda	T~
31.748021039364	0.15	2000	   48.15992	 2.770E-02	 5.618E-04	   0.1304650	0.590383602774996	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.270E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.609E+01
31.748021039364	0.15	2000	   48.15992	 2.769E-02	 5.616E-04	   0.1304650	1.19770735139478	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6901E-01	 3.088E+01	 3.610E+01
31.748021039364	0.15	2000	   48.15992	 2.768E-02	 5.613E-04	   0.1304650	2.42978106580612	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.332E-02	 0.000E+00	 2.270E-01	0.0303388484846265	 1.455E-01	 6.8579E+01	 1.148E+01	 7.6903E-01	 3.088E+01	 3.612E+01
31.748021039364	0.15	2000	   48.15992	 2.765E-02	 5.605E-04	   0.1304650	4.92928094736557	293.16	36.7	 1.553859	 6.414E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.388E+00	 5.333E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.454E-01	 6.8579E+01	 1.148E+01	 7.6907E-01	 3.089E+01	 3.616E+01
31.748021039364	0.15	2000	   48.15992	 2.759E-02	 5.590E-04	   0.1304650	9.99999999999998	293.16	36.7	 1.553859	 6.415E-01	 1.524E-01	 1.833E+00	 4.565E+01	 2.388E+00	 5.336E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.451E-01	 6.8579E+01	 1.148E+01	 7.6915E-01	 3.089E+01	 3.623E+01
37.0349884914916	0.15	2000	   56.17995	 5.960E-02	 1.600E-03	   0.1118404	5e-4	293.16	36.7	 1.553859	 5.090E-01	 1.296E-01	 1.958E+00	 5.413E+01	 2.511E+00	 4.490E-02	 0.000E+00	 2.291E-01	0.0260077953101372	 1.754E-01	 8.0162E+01	 1.161E+01	 7.3998E-01	 2.859E+01	 1.677E+01
37.0349884914916	0.15	2000	   56.17995	 5.960E-02	 1.600E-03	   0.1118404	0.00101434672792838	293.16	36.7	 1.553859	 5.090E-01	 1.295E-01	 1.958E+00	 5.415E+01	 2.511E+00	 4.490E-02	 0.000E+00	 2.290E-01	0.0303388510639914	 1.731E-01	 8.0168E+01	 1.158E+01	 7.4014E-01	 2.859E+01	 1.677E+01
37.0349884914916	0.15	2000	   56.17995	 5.960E-02	 1.600E-03	   0.1118404	0.00205779856891804	293.16	36.7	 1.553859	 5.090E-01	 1.295E-01	 1.958E+00	 5.415E+01	 2.511E+00	 4.490E-02	 0.000E+00	 2.290E-01	0.0303388510639914	 1.731E-01	 8.0168E+01	 1.158E+01	 7.4014E-01	 2.859E+01	 1.677E+01
37.0349884914916	0.15	2000	   56.17995	 5.960E-02	 1.600E-03	   0.1118404	0.00417464249023545	293.16	36.7	 1.553859	 5.090E-01	 1.295E-01	 1.958E+00	 5.415E+01	 2.511E+00	 4.490E-02	 0.000E+00	 2.290E-01	0.0303388510639914	 1.731E-01	 8.0168E+01	 1.158E+01	 7.4014E-01	 2.859E+01	 1.677E+01
37.0349884914916	0.15	2000	   56.17995	 5.960E-02	 1.600E-03	   0.1118404	0.00846906990048226	293.16	36.7	 1.553859	 5.090E-01	 1.295E-01	 1.958E+00	 5.415E+01	 2.511E+00	 4.490E-02	 0.000E+00	 2.290E-01	0.0303388510639914	 1.731E-01	 8.0168E+01	 1.158E+01	 7.4014E-01	 2.859E+01	 1.677E+01
